2016-11-09, 22:36:00, 298, 20Q 58ms 53E 0T 38ms 21max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:25:00, 257, 20Q 51ms 53E 0T 37ms 22max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:26:00, 349, 19Q 65ms 53E 0T 40ms 22max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:27:00, 304, 20Q 80ms 53E 0T 37ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:28:00, 424, 20Q 79ms 53E 0T 41ms 21max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-09, 23:29:00, 164, 19Q 25ms 53E 0T 19ms 10max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-09, 23:30:00, 282, 20Q 128ms 53E 0T 47ms 35max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-09, 23:31:00, 264, 20Q 50ms 53E 0T 19ms 10max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-09, 23:32:00, 384, 19Q 49ms 53E 0T 45ms 27max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:33:00, 445, 19Q 37ms 53E 0T 65ms 51max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:34:00, 257, 20Q 87ms 53E 0T 26ms 14max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-09, 23:35:00, 148, 20Q 49ms 53E 0T 15ms 8max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-09, 23:36:00, 411, 20Q 113ms 53E 0T 30ms 16max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 23:37:00, 256, 19Q 34ms 53E 0T 31ms 17max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-09, 23:38:00, 497, 20Q 161ms 53E 0T 40ms 23max, 0, 8, 66, SRV-WEB12, v3, v1
2016-11-09, 23:39:00, 538, 20Q 178ms 53E 0T 212ms 162max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-09, 23:40:00, 318, 20Q 57ms 53E 0T 35ms 18max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:41:00, 256, 20Q 44ms 53E 0T 30ms 17max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-09, 23:42:00, 438, 19Q 130ms 53E 0T 85ms 67max, 0, 65, 66, SRV-WEB13, v3, v1
2016-11-09, 23:43:00, 212, 20Q 32ms 53E 0T 24ms 14max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-09, 23:44:01, 221, 20Q 33ms 53E 0T 18ms 9max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-09, 23:45:00, 234, 20Q 57ms 53E 0T 46ms 36max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-09, 23:46:00, 395, 20Q 48ms 53E 0T 29ms 15max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:47:00, 313, 20Q 90ms 53E 0T 35ms 20max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:48:00, 220, 19Q 45ms 53E 0T 53ms 35max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-09, 23:49:00, 326, 20Q 92ms 53E 0T 33ms 18max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-09, 23:50:00, 552, 20Q 211ms 53E 0T 121ms 62max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-09, 23:51:00, 164, 20Q 44ms 53E 0T 21ms 13max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-09, 23:52:00, 186, 20Q 27ms 53E 0T 18ms 9max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-09, 23:53:00, 234, 20Q 44ms 53E 0T 38ms 23max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-09, 23:54:00, 310, 20Q 49ms 53E 0T 33ms 17max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:55:00, 277, 20Q 48ms 53E 0T 31ms 17max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:56:00, 649, 20Q 136ms 53E 0T 43ms 23max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-09, 23:57:01, 332, 20Q 68ms 53E 0T 48ms 27max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-09, 23:58:00, 230, 20Q 49ms 53E 0T 30ms 16max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-09, 23:59:00, 200, 20Q 27ms 53E 0T 25ms 13max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-10, 00:00:00, 363, 20Q 76ms 53E 0T 40ms 21max, 0, 6, 66, SRV-WEB11, v3, v1
2016-11-10, 00:01:00, 304, 19Q 48ms 53E 0T 48ms 29max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:02:00, 329, 20Q 85ms 53E 0T 31ms 17max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 00:03:00, 245, 20Q 68ms 53E 0T 76ms 67max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:04:00, 305, 20Q 52ms 53E 0T 33ms 17max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:05:00, 251, 20Q 75ms 53E 0T 34ms 18max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:06:00, 307, 20Q 47ms 53E 0T 42ms 23max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 00:07:00, 364, 20Q 48ms 53E 0T 38ms 23max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-10, 00:08:00, 369, 20Q 108ms 53E 0T 76ms 41max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 00:09:00, 491, 20Q 148ms 53E 0T 26ms 14max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:10:00, 237, 19Q 48ms 53E 0T 35ms 23max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-10, 00:11:00, 188, 20Q 64ms 53E 0T 37ms 25max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:12:00, 625, 20Q 377ms 53E 0T 53ms 40max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 00:13:00, 221, 20Q 85ms 53E 0T 20ms 10max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:14:00, 178, 20Q 31ms 53E 0T 22ms 11max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:15:00, 373, 20Q 61ms 53E 0T 42ms 23max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 00:16:01, 298, 20Q 83ms 53E 0T 36ms 19max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 00:17:00, 250, 20Q 67ms 53E 0T 74ms 37max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-10, 00:18:00, 186, 20Q 23ms 53E 0T 17ms 9max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:19:00, 287, 20Q 138ms 53E 0T 133ms 92max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:20:00, 243, 20Q 51ms 53E 0T 36ms 19max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:21:00, 227, 20Q 51ms 53E 0T 23ms 12max, 0, 42, 66, SRV-WEB13, v3, v1
2016-11-10, 00:22:00, 321, 19Q 43ms 53E 0T 54ms 32max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-10, 00:23:00, 253, 19Q 39ms 53E 0T 33ms 17max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:24:00, 237, 20Q 53ms 53E 0T 36ms 19max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:25:00, 311, 20Q 57ms 53E 0T 58ms 41max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 00:26:00, 362, 20Q 79ms 53E 0T 36ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:27:00, 245, 20Q 49ms 53E 0T 38ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:28:00, 178, 20Q 43ms 53E 0T 23ms 12max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:29:00, 319, 19Q 47ms 53E 0T 54ms 28max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-10, 00:30:00, 186, 20Q 32ms 53E 0T 21ms 11max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 00:31:00, 290, 20Q 50ms 53E 0T 39ms 21max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:32:00, 359, 20Q 66ms 53E 0T 52ms 27max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 00:33:00, 289, 20Q 80ms 53E 0T 46ms 24max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:34:00, 280, 20Q 68ms 53E 0T 32ms 16max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:35:00, 203, 20Q 43ms 53E 0T 30ms 18max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:36:00, 234, 20Q 43ms 53E 0T 32ms 18max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:37:00, 283, 19Q 51ms 53E 0T 36ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:38:00, 257, 20Q 60ms 53E 0T 46ms 24max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:39:00, 336, 20Q 169ms 53E 0T 45ms 27max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:40:00, 272, 20Q 59ms 53E 0T 43ms 25max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:41:00, 243, 20Q 47ms 53E 0T 37ms 20max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:42:00, 269, 19Q 43ms 53E 0T 45ms 23max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:43:00, 578, 20Q 177ms 53E 0T 57ms 35max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:44:00, 288, 19Q 49ms 53E 0T 37ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:45:00, 360, 20Q 77ms 53E 0T 103ms 80max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 00:46:00, 299, 20Q 57ms 53E 0T 37ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:47:00, 363, 20Q 68ms 53E 0T 49ms 29max, 0, 6, 66, SRV-WEB12, v3, v1
2016-11-10, 00:48:00, 265, 20Q 54ms 53E 0T 41ms 22max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:49:00, 298, 20Q 57ms 53E 0T 30ms 15max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:50:00, 241, 20Q 47ms 53E 0T 27ms 14max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 00:51:00, 214, 19Q 39ms 53E 0T 30ms 16max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:52:00, 305, 20Q 87ms 53E 0T 38ms 20max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 00:53:00, 227, 20Q 86ms 53E 0T 32ms 20max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 00:54:00, 245, 20Q 60ms 53E 0T 32ms 16max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:55:00, 238, 20Q 48ms 53E 0T 35ms 19max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:56:00, 244, 20Q 50ms 53E 0T 31ms 16max, 0, 3, 66, SRV-WEB12, v3, v1
2016-11-10, 00:57:00, 291, 20Q 50ms 53E 0T 52ms 27max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 00:58:00, 270, 20Q 60ms 53E 0T 32ms 17max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 00:59:01, 348, 20Q 56ms 53E 0T 35ms 19max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-10, 01:00:00, 179, 20Q 33ms 53E 0T 26ms 16max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 01:01:00, 204, 19Q 29ms 53E 0T 27ms 17max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-10, 01:02:00, 304, 20Q 69ms 53E 0T 60ms 39max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-10, 01:03:00, 529, 20Q 139ms 53E 0T 75ms 39max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 02:04:01, 161, 20Q 43ms 53E 0T 25ms 13max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 02:05:00, 214, 20Q 56ms 53E 0T 27ms 14max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 02:06:00, 170, 20Q 19ms 54E 0T 29ms 21max, 0, 2, 68, SRV-WEB14, v3, v1
2016-11-10, 02:07:00, 140, 20Q 28ms 53E 0T 18ms 10max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 02:08:00, 298, 20Q 89ms 53E 0T 31ms 16max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 02:09:01, 142, 20Q 24ms 53E 0T 35ms 18max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 02:10:00, 244, 20Q 39ms 53E 0T 26ms 14max, 0, 3, 66, SRV-WEB12, v3, v1
2016-11-10, 02:11:00, 314, 20Q 38ms 53E 0T 33ms 18max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 02:12:00, 119, 20Q 30ms 53E 0T 22ms 14max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 02:13:00, 160, 20Q 31ms 53E 0T 19ms 10max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-10, 02:14:01, 260, 20Q 43ms 53E 0T 29ms 15max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 02:15:00, 155, 20Q 26ms 54E 0T 20ms 11max, 0, 1, 68, SRV-WEB13, v3, v1
2016-11-10, 03:16:00, 265, 20Q 57ms 53E 0T 34ms 18max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 03:17:00, 276, 20Q 58ms 53E 0T 30ms 15max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 03:18:00, 280, 20Q 66ms 53E 0T 53ms 38max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 03:19:00, 119, 19Q 19ms 53E 0T 16ms 8max, 0, 3, 66, SRV-WEB14, v3, v1
2016-11-10, 03:20:00, 138, 20Q 43ms 53E 0T 18ms 10max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 03:21:00, 197, 20Q 33ms 53E 0T 23ms 14max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 03:22:01, 219, 20Q 42ms 54E 0T 32ms 17max, 0, 3, 68, SRV-WEB11, v3, v1
2016-11-10, 03:23:00, 155, 20Q 26ms 54E 0T 22ms 11max, 0, 2, 68, SRV-WEB14, v3, v1
2016-11-10, 03:24:00, 275, 20Q 54ms 53E 0T 50ms 32max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 04:25:00, 155, 20Q 23ms 53E 0T 23ms 12max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 04:26:00, 252, 20Q 63ms 53E 0T 34ms 18max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 04:27:00, 152, 19Q 18ms 53E 0T 23ms 15max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 04:28:00, 161, 20Q 21ms 53E 0T 17ms 9max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-10, 04:29:00, 253, 20Q 42ms 53E 0T 34ms 21max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 04:30:00, 253, 20Q 97ms 53E 0T 24ms 13max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 04:31:00, 342, 20Q 123ms 54E 0T 82ms 42max, 0, 4, 68, SRV-WEB12, v3, v1
2016-11-10, 04:32:00, 151, 19Q 21ms 53E 0T 17ms 9max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 05:32:00, 289, 20Q 41ms 53E 0T 31ms 17max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 05:33:00, 244, 19Q 44ms 53E 0T 35ms 19max, 0, 3, 66, SRV-WEB12, v3, v1
2016-11-10, 05:34:01, 227, 20Q 53ms 53E 0T 33ms 20max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 05:35:00, 310, 20Q 86ms 53E 0T 84ms 42max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 05:36:00, 469, 20Q 40ms 53E 0T 30ms 16max, 0, 4, 66, SRV-WEB14, v3, v1
2016-11-10, 05:37:00, 265, 20Q 58ms 53E 0T 38ms 22max, 0, 3, 66, SRV-WEB11, v3, v1
2016-11-10, 06:38:00, 297, 20Q 53ms 53E 0T 37ms 19max, 0, 6, 66, SRV-WEB12, v3, v1
2016-11-10, 06:39:00, 222, 20Q 43ms 53E 0T 29ms 16max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 06:40:01, 118, 20Q 28ms 54E 0T 17ms 9max, 0, 2, 68, SRV-WEB14, v3, v1
2016-11-10, 06:41:00, 230, 20Q 44ms 54E 0T 32ms 17max, 0, 4, 68, SRV-WEB12, v3, v1
2016-11-10, 06:42:00, 331, 20Q 56ms 53E 0T 63ms 33max, 0, 4, 66, SRV-WEB12, v3, v1
2016-11-10, 06:43:00, 317, 20Q 58ms 53E 0T 46ms 32max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 06:44:00, 173, 20Q 28ms 53E 0T 19ms 11max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 06:45:00, 285, 20Q 113ms 53E 0T 78ms 41max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 07:45:00, 331, 20Q 50ms 54E 0T 32ms 20max, 0, 6, 68, SRV-WEB11, v3, v1
2016-11-10, 07:46:00, 537, 20Q 200ms 54E 0T 48ms 24max, 0, 10, 68, SRV-WEB12, v3, v1
2016-11-10, 07:47:00, 829, 20Q 63ms 54E 0T 58ms 43max, 0, 6, 68, SRV-WEB12, v3, v1
2016-11-10, 07:48:00, 469, 20Q 41ms 54E 0T 36ms 18max, 0, 5, 68, SRV-WEB11, v3, v1
2016-11-10, 07:49:00, 253, 20Q 91ms 54E 0T 30ms 15max, 0, 2, 68, SRV-WEB14, v3, v1
2016-11-10, 07:50:01, 531, 20Q 239ms 54E 0T 30ms 16max, 0, 5, 68, SRV-WEB11, v3, v1
2016-11-10, 07:51:00, 195, 20Q 50ms 54E 0T 32ms 18max, 0, 3, 68, SRV-WEB14, v3, v1
2016-11-10, 07:52:00, 613, 20Q 60ms 54E 0T 18ms 9max, 0, 2, 68, SRV-WEB14, v3, v1
2016-11-10, 07:53:00, 306, 19Q 43ms 54E 0T 38ms 20max, 0, 5, 68, SRV-WEB12, v3, v1
2016-11-10, 07:54:00, 388, 19Q 50ms 54E 0T 95ms 78max, 0, 4, 68, SRV-WEB11, v3, v1
2016-11-10, 07:55:00, 391, 19Q 45ms 54E 0T 52ms 36max, 0, 6, 68, SRV-WEB12, v3, v1
2016-11-10, 07:56:00, 308, 20Q 62ms 53E 0T 40ms 21max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 07:57:00, 189, 20Q 33ms 53E 0T 35ms 19max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 07:58:00, 424, 19Q 44ms 53E 0T 36ms 20max, 0, 5, 66, SRV-WEB11, v3, v1
2016-11-10, 07:59:00, 200, 20Q 41ms 53E 0T 18ms 10max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 08:00:00, 369, 19Q 53ms 53E 0T 38ms 24max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 08:01:00, 409, 20Q 132ms 53E 0T 51ms 26max, 0, 6, 66, SRV-WEB12, v3, v1
2016-11-10, 08:02:00, 381, 19Q 46ms 53E 0T 32ms 19max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 08:03:00, 352, 20Q 51ms 53E 0T 33ms 18max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 08:04:00, 447, 20Q 49ms 53E 0T 28ms 14max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 08:05:00, 157, 20Q 51ms 53E 0T 20ms 10max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 08:06:00, 271, 19Q 46ms 53E 0T 38ms 21max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 08:07:00, 258, 20Q 45ms 53E 0T 32ms 17max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 08:08:00, 489, 20Q 298ms 53E 0T 51ms 42max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 08:09:00, 192, 20Q 74ms 53E 0T 18ms 9max, 0, 2, 66, SRV-WEB14, v3, v1
2016-11-10, 08:10:00, 189, 20Q 49ms 53E 0T 25ms 13max, 0, 2, 66, SRV-WEB13, v3, v1
2016-11-10, 08:11:00, 305, 19Q 42ms 53E 0T 38ms 20max, 0, 5, 66, SRV-WEB12, v3, v1
2016-11-10, 08:12:00, 310, 20Q 70ms 53E 0T 36ms 20max, 0, 4, 66, SRV-WEB11, v3, v1
2016-11-10, 08:13:00, 242, 19Q 55ms 53E 0T 31ms 18max, 0, 3, 66, SRV-WEB13, v3, v1
2016-11-10, 08:14:00, 385, 19Q 94ms 53E 0T 81ms 45max, 0, 5, 66, SRV-WEB11, v3, v1
